date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,0.7,-5,2.9,,,79,16,,,
2021-01-02,2.5,1.7,3.2,,,258,10,,,
2021-01-03,2.9,2,4.2,,,200,5,,,
2021-01-04,2,1.4,2.7,,,234,11,,,
2021-01-05,2.1,1.4,3,,,267,7,,,
2021-01-06,3.6,2.5,5.4,,,322,11,,,
2021-01-07,2.5,0.1,3.4,,,124,14,,,
2021-01-08,0.3,-1.7,2.5,,,191,15,,,
2021-01-09,0.4,-4,6.2,,,324,9,,,
2021-01-10,-1,-6,3.6,,,,5,,,
2021-01-11,-0.3,-2,1.2,,,237,17,,,
2021-01-12,0.2,-1.6,1.6,,,210,17,,,
2021-01-13,4,0.9,8.7,,,215,18,,,
2021-01-14,4.9,2.1,8,,,,,,,
2021-01-15,3.2,-0.8,6.2,,,171,7,,,
2021-01-16,0.5,-1,2,,,237,12,,,
2021-01-17,2.8,1.2,4.4,,,252,13,,,
2021-01-18,1.2,0.4,2.7,,,243,15,,,
2021-01-19,0.5,-1,1.9,,,247,22,,,
2021-01-20,-2.8,-6.7,-0.9,,,253,22,,,
2021-01-21,2.7,-2.7,7.4,,,,,,,
2021-01-22,-1.1,-5.9,3.2,,,315,21,,,
2021-01-23,-4.5,-9.2,0.1,,,,10,,,
2021-01-24,-1.8,-6,-0.6,,,131,12,,,
2021-01-25,-1.9,-6.1,1.4,,,145,10,,,
2021-01-26,0.8,-1.4,2,,,157,16,,,
2021-01-27,-3.7,-8.4,-0.3,,,338,15,,,
2021-01-28,-4.7,-6.5,-3.1,,,325,17,,,
2021-01-29,-5.8,-10.6,-0.6,,,,10,,,
2021-01-30,-3.5,-10.5,0.1,,,,12,,,
2021-01-31,-0.2,-1.3,1,,,60,27,,,
2021-02-01,-0.7,-2.4,1.7,,,119,21,,,
2021-02-02,-1.4,-4.7,2.5,,,334,20,,,
2021-02-03,-1.9,-6.7,4.9,,,,12,,,
2021-02-04,-0.7,-7.4,3,,,161,20,,,
2021-02-05,-4.4,-7.8,3.4,,,231,36,,,
2021-02-06,-7.7,-9.8,-5.5,,,224,21,,,
2021-02-07,-9.4,-13.3,-7.4,,,268,15,,,
2021-02-08,-8.9,-13.9,-6.6,,,191,5,,,
2021-02-09,-7.7,-13.1,-3.6,,,,9,,,
2021-02-10,-8.7,-15.4,-6,,,,3,,,
2021-02-11,-6.6,-11.6,-2.7,,,,,,,
2021-02-12,-4.5,-6.8,-2.3,,,106,12,,,
2021-02-13,-5.2,-7.2,-3.8,,,105,13,,,
2021-02-14,-7.3,-12.6,-2.9,,,309,12,,,
2021-02-15,-7.9,-9.4,-6.4,,,131,19,,,
2021-02-16,-8.6,-17.1,-5.8,,,295,20,,,
2021-02-17,-12.1,-21.9,-5.2,,,,4,,,
2021-02-18,-4.3,-8.7,-2,,,60,14,,,
2021-02-19,-5.3,-10.2,-2.1,,,266,15,,,
2021-02-20,-6.5,-12.7,-1,,,246,17,,,
2021-02-21,-6.3,-17.4,1.7,,,,9,,,
2021-02-22,2.6,0.4,4.4,,,211,28,,,
2021-02-23,5.6,2.9,9.7,,,,,,,
2021-02-24,6,1.4,11.6,,,244,21,,,
2021-02-25,1.6,-4.3,6.9,,,277,14,,,
2021-02-26,0.7,-6.3,6.6,,,,11,,,
2021-02-27,5.2,1.5,11.8,,,216,13,,,
2021-02-28,6.6,0.5,16.5,,,138,11,,,
2021-03-01,2.4,-4.2,6.4,,,304,29,,,
2021-03-02,-1.1,-8.2,4.4,,,,,,,
2021-03-03,6.8,0.2,15.7,,,277,18,,,
2021-03-04,0.6,-4.4,3.6,,,,,,,
2021-03-05,1,-5.1,7.3,,,319,19,,,
2021-03-06,1.6,-4.2,6.4,,,,,,,
2021-03-07,0,-4.9,6,,,,8,,,
2021-03-08,9.3,-1.5,20,,,226,19,,,
2021-03-09,7.8,1.3,14.9,,,,,,,
2021-03-10,12.8,1.5,21.1,,,,,,,
2021-03-11,16.6,7.3,22.3,,,,,,,
2021-03-12,8.5,1.8,16.4,,,300,22,,,
2021-03-13,4.1,-5.3,12.7,,,,12,,,
2021-03-14,5.6,-0.8,10.5,,,,,,,
2021-03-15,-0.1,-3.7,3.2,,,,,,,
2021-03-16,5.9,1.4,12.8,,,,13,,,
2021-03-17,4.8,-1.4,14.3,,,117,11,,1015.9,
2021-03-18,5,2,7.2,,,29,23,,1015.1,
2021-03-19,3.9,-0.5,8.6,,,53,18,,1031.6,
2021-03-20,5.3,-4.6,12.9,,,163,8,,1034.4,
2021-03-21,7.2,-3.9,18.3,,,150,10,,1029,
2021-03-22,13.1,2.2,21.9,,,170,13,,1021.2,
2021-03-23,13.2,7.1,21.4,,,120,11,,1016.7,
2021-03-24,16.7,10.9,22.2,,,178,19,,1008.7,
2021-03-25,13.3,7.9,18.4,,,200,11,,1012.2,
2021-03-26,9.8,5.7,15.2,,,253,21,,1009.5,
2021-03-27,7.8,4,12.4,,,209,9,,1017.4,
2021-03-28,,,,,,,,,,
2021-03-29,,,,,,,,,,
2021-03-30,,,,,,,,,,
2021-03-31,,,,,,,,,,
2021-04-01,,,,,,,,,,
2021-04-02,,,,,,,,,,
2021-04-03,,,,,,,,,,
2021-04-04,,,,,,,,,,
2021-04-05,,,,,,,,,,
2021-04-06,,,,,,,,,,
2021-04-07,19.3,12.8,27.4,,,143,11,,1012.7,
2021-04-08,17.3,11.9,25.2,,,129,12,,1007.2,
2021-04-09,17.9,13.3,23.7,,,180,18,,1007.5,
2021-04-10,17.2,9.5,24.1,,,130,11,,1003,
2021-04-11,13.5,10.9,16.6,,,168,11,,996.6,
2021-04-12,13,9.1,18.2,,,253,10,,1004.7,
2021-04-13,13.4,6.3,19.6,,,242,14,,1016.9,
2021-04-14,9.9,4.6,15.1,,,263,17,,1016.9,
2021-04-15,6.8,3,10.7,,,296,17,,1012.3,
2021-04-16,9.5,5.4,14.2,,,285,16,,1012.2,
2021-04-17,9.6,4.1,15.4,,,197,9,,1012.7,
2021-04-18,12,6.4,17.5,,,261,10,,1011.8,
2021-04-19,11.5,6.4,19.7,,,249,19,,1009.5,
2021-04-20,3.6,1.7,6.9,,,294,11,,1016.4,
2021-04-21,3.2,-0.1,7.2,,,307,14,,1016.5,
2021-04-22,4.7,-3,11,,,278,15,,1017.5,
2021-04-23,10.3,0.6,18.4,,,239,15,,1016.9,
2021-04-24,10.3,2.8,15.4,,,173,9,,1012.9,
2021-04-25,10.1,5.5,13.9,,,274,16,,1014.1,
2021-04-26,7.9,1.9,13.5,,,96,15,,1019.6,
2021-04-27,19.1,7.6,29,,,189,13,,1010.3,
2021-04-28,21.2,15,27.7,,,230,15,,1009.9,
2021-04-29,12.1,9.6,14.7,,,215,12,,1008,
2021-04-30,11.3,6.5,15,,,313,22,,1014.6,